,Counts
2022-09-02 00:05:00,0
2022-09-02 00:10:00,0
2022-09-02 00:15:00,0
2022-09-02 00:20:00,0
2022-09-02 00:25:00,0
2022-09-02 00:30:00,0
2022-09-02 00:35:00,0
2022-09-02 00:40:00,0
2022-09-02 00:45:00,0
2022-09-02 00:50:00,0
2022-09-02 00:55:00,0
2022-09-02 01:00:00,0
2022-09-02 01:05:00,0
2022-09-02 01:10:00,0
2022-09-02 01:15:00,0
2022-09-02 01:20:00,0
2022-09-02 01:25:00,0
2022-09-02 01:30:00,0
2022-09-02 01:35:00,0
2022-09-02 01:40:00,0
2022-09-02 01:45:00,0
2022-09-02 01:50:00,0
2022-09-02 01:55:00,0
2022-09-02 02:00:00,0
2022-09-02 02:05:00,0
2022-09-02 02:10:00,0
2022-09-02 02:15:00,0
2022-09-02 02:20:00,0
2022-09-02 02:25:00,0
2022-09-02 02:30:00,0
2022-09-02 02:35:00,0
2022-09-02 02:40:00,0
2022-09-02 02:45:00,0
2022-09-02 02:50:00,0
2022-09-02 02:55:00,0
2022-09-02 03:00:00,0
2022-09-02 03:05:00,0
2022-09-02 03:10:00,0
2022-09-02 03:15:00,0
2022-09-02 03:20:00,0
2022-09-02 03:25:00,0
2022-09-02 03:30:00,0
2022-09-02 03:35:00,0
2022-09-02 03:40:00,0
2022-09-02 03:45:00,0
2022-09-02 03:50:00,0
2022-09-02 03:55:00,0
2022-09-02 04:00:00,0
2022-09-02 04:05:00,0
2022-09-02 04:10:00,0
2022-09-02 04:15:00,0
2022-09-02 04:20:00,0
2022-09-02 04:25:00,0
2022-09-02 04:30:00,0
2022-09-02 04:35:00,0
2022-09-02 04:40:00,0
2022-09-02 04:45:00,0
2022-09-02 04:50:00,0
2022-09-02 04:55:00,0
2022-09-02 05:00:00,0
2022-09-02 05:05:00,0
2022-09-02 05:10:00,0
2022-09-02 05:15:00,0
2022-09-02 05:20:00,0
2022-09-02 05:25:00,0
2022-09-02 05:30:00,0
2022-09-02 05:35:00,0
2022-09-02 05:40:00,1
2022-09-02 05:45:00,0
2022-09-02 05:50:00,0
2022-09-02 05:55:00,0
2022-09-02 06:00:00,0
2022-09-02 06:05:00,0
2022-09-02 06:10:00,0
2022-09-02 06:15:00,0
2022-09-02 06:20:00,1
2022-09-02 06:25:00,3
2022-09-02 06:30:00,4
2022-09-02 06:35:00,4
2022-09-02 06:40:00,4
2022-09-02 06:45:00,4
2022-09-02 06:50:00,5
2022-09-02 06:55:00,7
2022-09-02 07:00:00,5
2022-09-02 07:05:00,5
2022-09-02 07:10:00,6
2022-09-02 07:15:00,5
2022-09-02 07:20:00,4
2022-09-02 07:25:00,5
2022-09-02 07:30:00,5
2022-09-02 07:35:00,6
2022-09-02 07:40:00,8
2022-09-02 07:45:00,10
2022-09-02 07:50:00,11
2022-09-02 07:55:00,16
2022-09-02 08:00:00,20
2022-09-02 08:05:00,22
2022-09-02 08:10:00,30
2022-09-02 08:15:00,26
2022-09-02 08:20:00,22
2022-09-02 08:25:00,15
2022-09-02 08:30:00,16
2022-09-02 08:35:00,18
2022-09-02 08:40:00,19
2022-09-02 08:45:00,21
2022-09-02 08:50:00,23
2022-09-02 08:55:00,24
2022-09-02 09:00:00,28
2022-09-02 09:05:00,32
2022-09-02 09:10:00,36
2022-09-02 09:15:00,33
2022-09-02 09:20:00,30
2022-09-02 09:25:00,37
2022-09-02 09:30:00,41
2022-09-02 09:35:00,42
2022-09-02 09:40:00,42
2022-09-02 09:45:00,40
2022-09-02 09:50:00,32
2022-09-02 09:55:00,32
2022-09-02 10:00:00,31
2022-09-02 10:05:00,30
2022-09-02 10:10:00,24
2022-09-02 10:15:00,23
2022-09-02 10:20:00,23
2022-09-02 10:25:00,22
2022-09-02 10:30:00,31
2022-09-02 10:35:00,35
2022-09-02 10:40:00,42
2022-09-02 10:45:00,42
2022-09-02 10:50:00,50
2022-09-02 10:55:00,60
2022-09-02 11:00:00,69
2022-09-02 11:05:00,75
2022-09-02 11:10:00,90
2022-09-02 11:15:00,106
2022-09-02 11:20:00,110
2022-09-02 11:25:00,123
2022-09-02 11:30:00,150
2022-09-02 11:35:00,173
2022-09-02 11:40:00,203
2022-09-02 11:45:00,212
2022-09-02 11:50:00,225
2022-09-02 11:55:00,229
2022-09-02 12:00:00,223
2022-09-02 12:05:00,231
2022-09-02 12:10:00,235
2022-09-02 12:15:00,220
2022-09-02 12:20:00,199
2022-09-02 12:25:00,179
2022-09-02 12:30:00,211
2022-09-02 12:35:00,200
2022-09-02 12:40:00,192
2022-09-02 12:45:00,179
2022-09-02 12:50:00,185
2022-09-02 12:55:00,157
2022-09-02 13:00:00,149
2022-09-02 13:05:00,139
2022-09-02 13:10:00,127
2022-09-02 13:15:00,122
2022-09-02 13:20:00,123
2022-09-02 13:25:00,119
2022-09-02 13:30:00,125
2022-09-02 13:35:00,118
2022-09-02 13:40:00,111
2022-09-02 13:45:00,102
2022-09-02 13:50:00,94
2022-09-02 13:55:00,86
2022-09-02 14:00:00,72
2022-09-02 14:05:00,59
2022-09-02 14:10:00,61
2022-09-02 14:15:00,54
2022-09-02 14:20:00,50
2022-09-02 14:25:00,42
2022-09-02 14:30:00,37
2022-09-02 14:35:00,35
2022-09-02 14:40:00,41
2022-09-02 14:45:00,36
2022-09-02 14:50:00,38
2022-09-02 14:55:00,39
2022-09-02 15:00:00,41
2022-09-02 15:05:00,36
2022-09-02 15:10:00,34
2022-09-02 15:15:00,33
2022-09-02 15:20:00,38
2022-09-02 15:25:00,36
2022-09-02 15:30:00,48
2022-09-02 15:35:00,52
2022-09-02 15:40:00,54
2022-09-02 15:45:00,53
2022-09-02 15:50:00,56
2022-09-02 15:55:00,52
2022-09-02 16:00:00,55
2022-09-02 16:05:00,55
2022-09-02 16:10:00,53
2022-09-02 16:15:00,51
2022-09-02 16:20:00,50
2022-09-02 16:25:00,50
2022-09-02 16:30:00,51
2022-09-02 16:35:00,56
2022-09-02 16:40:00,67
2022-09-02 16:45:00,71
2022-09-02 16:50:00,73
2022-09-02 16:55:00,68
2022-09-02 17:00:00,80
2022-09-02 17:05:00,79
2022-09-02 17:10:00,101
2022-09-02 17:15:00,116
2022-09-02 17:20:00,133
2022-09-02 17:25:00,160
2022-09-02 17:30:00,159
2022-09-02 17:35:00,162
2022-09-02 17:40:00,166
2022-09-02 17:45:00,163
2022-09-02 17:50:00,151
2022-09-02 17:55:00,146
2022-09-02 18:00:00,138
2022-09-02 18:05:00,143
2022-09-02 18:10:00,125
2022-09-02 18:15:00,118
2022-09-02 18:20:00,120
2022-09-02 18:25:00,118
2022-09-02 18:30:00,124
2022-09-02 18:35:00,135
2022-09-02 18:40:00,121
2022-09-02 18:45:00,121
2022-09-02 18:50:00,111
2022-09-02 18:55:00,104
2022-09-02 19:00:00,91
2022-09-02 19:05:00,99
2022-09-02 19:10:00,89
2022-09-02 19:15:00,91
2022-09-02 19:20:00,74
2022-09-02 19:25:00,67
2022-09-02 19:30:00,61
2022-09-02 19:35:00,54
2022-09-02 19:40:00,47
2022-09-02 19:45:00,42
2022-09-02 19:50:00,40
2022-09-02 19:55:00,42
2022-09-02 20:00:00,38
2022-09-02 20:05:00,37
2022-09-02 20:10:00,36
2022-09-02 20:15:00,37
2022-09-02 20:20:00,28
2022-09-02 20:25:00,22
2022-09-02 20:30:00,23
2022-09-02 20:35:00,24
2022-09-02 20:40:00,23
2022-09-02 20:45:00,23
2022-09-02 20:50:00,22
2022-09-02 20:55:00,20
2022-09-02 21:00:00,12
2022-09-02 21:05:00,12
2022-09-02 21:10:00,12
2022-09-02 21:15:00,10
2022-09-02 21:20:00,10
2022-09-02 21:25:00,10
2022-09-02 21:30:00,10
2022-09-02 21:35:00,10
2022-09-02 21:40:00,10
2022-09-02 21:45:00,10
2022-09-02 21:50:00,10
2022-09-02 21:55:00,10
2022-09-02 22:00:00,10
2022-09-02 22:05:00,10
2022-09-02 22:10:00,12
2022-09-02 22:15:00,11
2022-09-02 22:20:00,11
2022-09-02 22:25:00,12
2022-09-02 22:30:00,9
2022-09-02 22:35:00,8
2022-09-02 22:40:00,7
2022-09-02 22:45:00,4
2022-09-02 22:50:00,2
2022-09-02 22:55:00,2
2022-09-02 23:00:00,2
2022-09-02 23:05:00,2
2022-09-02 23:10:00,2
2022-09-02 23:15:00,2
2022-09-02 23:20:00,2
2022-09-02 23:25:00,2
2022-09-02 23:30:00,2
2022-09-02 23:35:00,1
2022-09-02 23:40:00,1
2022-09-02 23:45:00,1
2022-09-02 23:50:00,1
2022-09-02 23:55:00,1
2022-09-03 00:00:00,0
2022-09-02 00:02:30,
2022-09-02 00:07:30,
2022-09-02 00:12:30,
2022-09-02 00:17:30,
2022-09-02 00:22:30,
2022-09-02 00:27:30,
2022-09-02 00:32:30,
2022-09-02 00:37:30,
2022-09-02 00:42:30,
2022-09-02 00:47:30,
2022-09-02 00:52:30,
2022-09-02 00:57:30,
2022-09-02 01:02:30,
2022-09-02 01:07:30,
2022-09-02 01:12:30,
2022-09-02 01:17:30,
2022-09-02 01:22:30,
2022-09-02 01:27:30,
2022-09-02 01:32:30,
2022-09-02 01:37:30,
2022-09-02 01:42:30,
2022-09-02 01:47:30,
2022-09-02 01:52:30,
2022-09-02 01:57:30,
2022-09-02 02:02:30,
2022-09-02 02:07:30,
2022-09-02 02:12:30,
2022-09-02 02:17:30,
2022-09-02 02:22:30,
2022-09-02 02:27:30,
2022-09-02 02:32:30,
2022-09-02 02:37:30,
2022-09-02 02:42:30,
2022-09-02 02:47:30,
2022-09-02 02:52:30,
2022-09-02 02:57:30,
2022-09-02 03:02:30,
2022-09-02 03:07:30,
2022-09-02 03:12:30,
2022-09-02 03:17:30,
2022-09-02 03:22:30,
2022-09-02 03:27:30,
2022-09-02 03:32:30,
2022-09-02 03:37:30,
2022-09-02 03:42:30,
2022-09-02 03:47:30,
2022-09-02 03:52:30,
2022-09-02 03:57:30,
2022-09-02 04:02:30,
2022-09-02 04:07:30,
2022-09-02 04:12:30,
2022-09-02 04:17:30,
2022-09-02 04:22:30,
2022-09-02 04:27:30,
2022-09-02 04:32:30,
2022-09-02 04:37:30,
2022-09-02 04:42:30,
2022-09-02 04:47:30,
2022-09-02 04:52:30,
2022-09-02 04:57:30,
2022-09-02 05:02:30,
2022-09-02 05:07:30,
2022-09-02 05:12:30,
2022-09-02 05:17:30,
2022-09-02 05:22:30,
2022-09-02 05:27:30,
2022-09-02 05:32:30,
2022-09-02 05:37:30,
2022-09-02 05:42:30,
2022-09-02 05:47:30,
2022-09-02 05:52:30,
2022-09-02 05:57:30,
2022-09-02 06:02:30,
2022-09-02 06:07:30,
2022-09-02 06:12:30,
2022-09-02 06:17:30,
2022-09-02 06:22:30,
2022-09-02 06:27:30,
2022-09-02 06:32:30,
2022-09-02 06:37:30,
2022-09-02 06:42:30,
2022-09-02 06:47:30,
2022-09-02 06:52:30,
2022-09-02 06:57:30,
2022-09-02 07:02:30,
2022-09-02 07:07:30,
2022-09-02 07:12:30,
2022-09-02 07:17:30,
2022-09-02 07:22:30,
2022-09-02 07:27:30,
2022-09-02 07:32:30,
2022-09-02 07:37:30,
2022-09-02 07:42:30,
2022-09-02 07:47:30,
2022-09-02 07:52:30,
2022-09-02 07:57:30,
2022-09-02 08:02:30,
2022-09-02 08:07:30,
2022-09-02 08:12:30,
2022-09-02 08:17:30,
2022-09-02 08:22:30,
2022-09-02 08:27:30,
2022-09-02 08:32:30,
2022-09-02 08:37:30,
2022-09-02 08:42:30,
2022-09-02 08:47:30,
2022-09-02 08:52:30,
2022-09-02 08:57:30,
2022-09-02 09:02:30,
2022-09-02 09:07:30,
2022-09-02 09:12:30,
2022-09-02 09:17:30,
2022-09-02 09:22:30,
2022-09-02 09:27:30,
2022-09-02 09:32:30,
2022-09-02 09:37:30,
2022-09-02 09:42:30,
2022-09-02 09:47:30,
2022-09-02 09:52:30,
2022-09-02 09:57:30,
2022-09-02 10:02:30,
2022-09-02 10:07:30,
2022-09-02 10:12:30,
2022-09-02 10:17:30,
2022-09-02 10:22:30,
2022-09-02 10:27:30,
2022-09-02 10:32:30,
2022-09-02 10:37:30,
2022-09-02 10:42:30,
2022-09-02 10:47:30,
2022-09-02 10:52:30,
2022-09-02 10:57:30,
2022-09-02 11:02:30,
2022-09-02 11:07:30,
2022-09-02 11:12:30,
2022-09-02 11:17:30,
2022-09-02 11:22:30,
2022-09-02 11:27:30,
2022-09-02 11:32:30,
2022-09-02 11:37:30,
2022-09-02 11:42:30,
2022-09-02 11:47:30,
2022-09-02 11:52:30,
2022-09-02 11:57:30,
2022-09-02 12:02:30,
2022-09-02 12:07:30,
2022-09-02 12:12:30,
